GEOID,count
360670001001,122
360670002001,551
360670002002,289
360670003001,312
360670003002,234
360670004001,739
360670004002,302
360670004003,320
360670005011,232
360670005012,110
360670006001,252
360670006002,222
360670006003,163
360670007001,231
360670007002,182
360670008001,402
360670008002,318
360670009001,327
360670009002,400
360670009003,370
360670010001,190
360670010002,414
360670010003,248
360670010004,45
360670014001,213
360670014002,189
360670014003,154
360670015001,357
360670015002,203
360670016001,38
360670016002,40
360670017011,397
360670017012,259
360670017021,288
360670017022,518
360670018001,177
360670018002,210
360670018003,492
360670019001,262
360670019002,215
360670019003,362
360670019004,381
360670019005,268
360670020001,284
360670020002,350
360670021011,138
360670021012,162
360670021013,234
360670023001,121
360670023002,26
360670024001,178
360670024002,145
360670027001,151
360670027002,168
360670027003,204
360670029011,626
360670029012,264
360670030001,116
360670030002,78
360670032001,64
360670034001,183
360670035001,246
360670035002,101
360670035003,140
360670036011,200
360670036012,372
360670036021,172
360670036022,403
360670038001,307
360670038002,239
360670039001,143
360670039002,231
360670039003,314
360670040001,233
360670042002,53
360670043021,4
360670043022,2
360670043023,10
360670044001,88
360670044002,297
360670045001,256
360670045002,395
360670045003,290
360670045004,212
360670046001,295
360670046002,439
360670046003,532
360670046004,342
360670046005,227
360670048001,323
360670048002,326
360670049001,263
360670049002,265
360670050001,393
360670050002,494
360670051001,120
360670051002,294
360670051003,256
360670052001,119
360670052002,227
360670052003,180
360670053001,184
360670053002,90
360670054001,167
360670054002,211
360670054003,128
360670054004,204
360670055001,212
360670055002,271
360670055003,61
360670056011,665
360670056021,25
360670057001,311
360670057002,345
360670058001,252
360670058002,195
360670058003,287
360670059001,228
360670059002,296
360670060001,273
360670060002,301
360670060003,390
360670060004,285
360670061011,402
360670061012,196
360670061013,272
360670061021,22
360670061022,38
360670061031,765
360670061032,299
360670101001,433
360670101002,766
360670102001,953
360670102002,522
360670102003,528
360670103011,257
360670103012,240
360670103013,616
360670103014,102
360670103015,632
360670103211,425
360670103212,607
360670103221,828
360670103222,494
360670104001,665
360670104002,678
360670105001,458
360670105002,458
360670106001,433
360670106002,433
360670107001,222
360670107002,488
360670108001,182
360670108002,333
360670108003,407
360670108004,630
360670109001,420
360670109002,584
360670110111,399
360670110112,202
360670110113,487
360670110121,373
360670110122,343
360670110123,151
360670110211,406
360670110212,510
360670110221,458
360670110222,554
360670111011,475
360670111012,359
360670111013,439
360670111014,243
360670111015,549
360670111021,75
360670111022,69
360670111023,29
360670112011,20
360670112012,176
360670112013,518
360670112014,278
360670112021,902
360670112022,703
360670112311,509
360670112312,622
360670112313,588
360670112321,1104
360670112322,503
360670112411,305
360670112412,632
360670112421,265
360670112422,401
360670112423,629
360670112424,916
360670113001,348
360670113002,382
360670113003,482
360670114011,531
360670114012,580
360670114013,531
360670114014,629
360670114021,522
360670114022,652
360670114023,464
360670115001,503
360670115002,643
360670115003,551
360670115004,303
360670116001,596
360670116002,538
360670116003,610
360670117001,589
360670117002,325
360670118001,425
360670118002,437
360670118003,219
360670118004,297
360670118005,515
360670119001,417
360670119002,338
360670119003,376
360670119004,301
360670120001,480
360670120002,497
360670120003,295
360670120004,641
360670121001,707
360670121002,429
360670121003,559
360670122001,353
360670123001,855
360670123002,429
360670124001,359
360670124002,397
360670124003,442
360670124004,330
360670125001,337
360670125002,620
360670125003,240
360670126001,255
360670126002,766
360670126003,478
360670126004,606
360670127001,254
360670127002,569
360670128001,353
360670128002,379
360670128003,429
360670129001,309
360670129002,286
360670130001,358
360670130002,263
360670130003,250
360670130004,188
360670130005,310
360670131001,416
360670131002,478
360670131003,528
360670131004,533
360670132001,462
360670132002,674
360670133001,263
360670133002,188
360670133003,435
360670134001,348
360670134002,685
360670134003,489
360670134004,243
360670135001,587
360670135002,812
360670135003,268
360670136001,292
360670136002,64
360670136003,508
360670137011,351
360670137012,443
360670137013,394
360670137014,478
360670138001,500
360670138002,373
360670139001,624
360670139002,416
360670140001,605
360670140002,294
360670140003,343
360670142001,415
360670142002,497
360670142003,541
360670143001,315
360670143002,164
360670143003,362
360670144001,297
360670144002,230
360670144003,356
360670145001,659
360670145002,547
360670146001,297
360670146002,258
360670146003,297
360670146004,318
360670147001,418
360670147002,615
360670147003,275
360670147004,520
360670147005,348
360670148001,276
360670148002,539
360670148003,396
360670149001,541
360670150001,308
360670150002,448
360670150003,585
360670150004,477
360670151001,490
360670151002,251
360670151003,476
360670151004,351
360670151005,368
360670152011,555
360670152012,371
360670152021,865
360670152022,732
360670152031,374
360670152032,506
360670154001,433
360670154002,622
360670154003,500
360670154004,589
360670155001,535
360670155002,712
360670156011,531
360670156012,376
360670156013,416
360670157001,670
360670157002,560
360670157003,550
360670157004,729
360670158001,651
360670158002,300
360670158003,406
360670158004,352
360670160011,564
360670160012,413
360670160013,370
360670160021,555
360670160022,514
360670161001,722
360670162001,248
360670162002,646
360670163001,383
360670163002,391
360670163003,255
360670163004,19
360670163005,441
360670163006,219
360670163007,421
360670164001,441
360670164002,520
360670164003,293
360670165011,715
360670165021,417
360670165022,354
360670165023,316
360670165024,416
360670166001,517
360670166002,481
360670166003,792
360670167001,737
360670167002,563
360670168011,413
360670168012,693
360670168021,345
360670168022,753
360670169011,522
360670169012,449
360670169021,423
360670169022,291
